upstroke_downstroke_ratio,ef__avg_isi,ef__avg_firing_rate
2.89546090494073,73.6783333333333,13.5725111407696
1.89188093800049,12.9123684210526,77.445126052133
3.1211816215221,77.4,12.9198966408269
4.57486453842852,245.906666666667,4.06658352762565
1.4528902963157,5.79999999999992,172.413793103451
2.19987196375147,112.245,8.90908280992472
2.52061630228839,72.9953846153846,13.6994962800599
4.14999807269852,36.3199999999999,27.5330396475772
2.80618139261634,168.45,5.93647966755714
1.31526664906747,24.5600000000001,40.71661237785
3.37711385047564,320.915,3.11608993035539
2.73192781069483,248.36,4.02641327105814
3.10724068195182,60.736,16.4646996838778
2.29278125347082,61.476,16.2665105081658
4.46920730828021,6.83999999999996,146.198830409358
3.90618458032267,368.66,2.71252644713286
3.13816525716283,42.4365217391304,23.5646080078686
1.38866009007699,35.6115384615385,28.0807862620153
4.03782926493653,277.586666666667,3.60247850521158
3.76342246579714,53.2341176470588,18.784945523658
5.03899246921333,447.14,2.23643601556559
2.95273688453768,21.365652173913,46.8040943407746
2.86234130571679,7.23999999999991,138.121546961328
3.07292063205141,58.885,16.9822535450454
3.20013668236165,139.516666666667,7.16760243698481
1.28144781293301,5.75999999999999,173.611111111111
4.62176752707538,130.765714285714,7.64726446425452
2.0395561123338,50.281052631579,19.8882073397952
3.86667566526034,153.704,6.50601155467652
3.20023676836465,108.56,9.21149594694178
3.42229220672034,66.1771428571429,15.1109576029704
2.95830006740223,76.635,13.0488680107001
1.28530714785161,26.8844444444444,37.1962307819475
2.86255455827192,54.9788235294118,18.1888213643756
4.05557776995308,276.94,3.61089044558388
3.18358299448772,69.5276923076923,14.3827583917863
3.72203758353696,40.084347826087,24.9473935397097
4.25974762215365,10.44,95.7854406130268
3.96213677699429,95.5622222222222,10.4643862056136
3.40169551124924,92.26,10.8389334489486
3.82262540970458,60.24,16.6002656042497
3.95285434656072,119.642857142857,8.35820895522389
1.57399229359716,27.6702857142857,36.1398508973009
4.31024783714743,26.34,37.9650721336371
4.43456266261281,161.548,6.19011067917894
1.54699135838031,21.3265217391304,46.8899716621476
1.4156929608869,312.346666666667,3.20157090412362
4.67411691924362,169.192,5.91044493829495
4.9318301864732,174.635,5.72622899189739
